"id";"company_id";"website"
71;48;"http://www.albtec.de"
744387;48;"www.albtec.de"
2565;49;"albtor-apotheke.de"
8;49;"https://albtor-apotheke.de"
773185;49;"https://albtor-apotheke.de/index.php"
74;49;"https://www.albtor-apotheke.de"
2566;50;"albtrans.de"
9;50;"http://albtrans.de"
77;50;"http://www.albtrans.de"
744389;50;"www.albtrans.de"
744348;51;"albuch-wind.de"
2567;51;"http://albuch-wind.de"
744355;52;"da-steuerberatung.de"
2568;52;"https://albrecht-steuerbuero.de"
744354;52;"https://da-steuerberatung.de"
1589;52;"https://www.albrecht-steuerbuero.de"
1591;52;"www.albrecht-steuerbuero.de"
744356;53;"albuch-wind.de"
2569;53;"http://albuch-wind.de"
1592;53;"http://www.albuch-wind.de"
2077;53;"www.albuch-wind.de"
744358;54;"albreisen.de"
2079;54;"http://alb-reisen.de"
1596;54;"http://www.alb-reisen.de"
2570;54;"https://albreisen.de"
773186;54;"www.albreisen.de"
2571;55;"albright-deutschland.de"
10;55;"http://albright-deutschland.de"
66;55;"http://www.albright-deutschland.de"
744388;55;"www.albright-deutschland.de"
2572;57;"am-ag.de"
2;57;"https://am-ag.de"
69;57;"https://www.am-ag.de"
2573;58;"https://am-ag.de"
744357;59;"albro.de"
2574;59;"http://albro.de"
72;59;"http://www.albro.de"
773187;59;"www.albro.de"
744360;60;"albromet.de"
2575;60;"https://albromet.de"
1599;60;"https://www.albromet.de"
2082;60;"www.albromet.de"
744368;161;"alb-appartement.de"
744367;161;"https://alb-appartement.de"
2576;162;"alb-naturenergie.de"
4;162;"http://alb-naturenergie.de"
744399;162;"http://www.alb-naturenergie.de"
744401;162;"www.alb-naturenergie.de"
2577;163;"alb-werbung.de"
7;163;"https://alb-werbung.de"
76;163;"https://www.alb-werbung.de"
744371;164;"elba-werk.com"
744370;164;"http://elba-werk.com"
744374;166;"albwerk.de"
744373;166;"https://albwerk.de"
744398;168;"https://alc-straubing.de"
67;168;"https://www.alc-straubing.de"
744404;169;"alc-straubing.de"
744402;169;"https://alc-straubing.de"
70;169;"https://www.alc-straubing.de"
744383;170;"alc-schimpf.de"
744381;170;"https://alc-schimpf.de"
73;170;"https://www.alc-schimpf.de"
744397;170;"www.alc-schimpf.de"
744385;171;"alc-logistic.de"
744406;171;"alc-online.de"
744384;171;"http://alc-logistic.de"
744405;171;"http://alc-online.de"
2578;171;"http://schollmayer-holz.de"
2579;172;"alb-dach.de"
11;172;"https://alb-dach.de"
744408;172;"https://alb-dach.de/dachdecker_senftenberg_brandenburg"
75;172;"https://www.ALB-Dach.de"
744407;172;"https://www.alb-dach.de/dachdecker_senftenberg_brandenburg"
744390;173;"alc-creativ.de"
2580;173;"http://alc-creativ.de"
2581;174;"https://adis-ggmbh.de"
744391;174;"https://lebenshilfe-donau-iller.de"
80;174;"https://www.lebenshilfe-donau-iller.de"
744392;174;"lebenshilfe-donau-iller.de"
744409;174;"www.lebenshilfe-donau-iller.de"
2582;175;"alb-elektric.de"
21;175;"https://alb-elektric.de"
79;175;"https://www.alb-elektric.de"
773188;175;"www.alb-elektric.de"
2583;176;"alb-elektric.de"
24;176;"https://alb-elektric.de"
78;176;"https://www.alb-elektric.de"
744393;177;"albwerk.de"
2584;177;"https://albwerk.de"
744413;177;"https://albwerk.de/home"
1607;177;"https://www.albwerk.de"
744412;177;"https://www.albwerk.de/home"
2089;177;"www.albwerk.de"
2585;179;"alb-gold.de"
81;179;"https://alb-gold.com"
28;179;"https://alb-gold.de"
2586;180;"alb-kellerbau.de"
32;180;"https://alb-kellerbau.de"
85;180;"https://www.alb-kellerbau.de"
744417;180;"www.alb-kellerbau.de"
744403;241;"dezent-wheels.com"
2587;241;"http://alcar-wheels.com"
744400;241;"http://dezent-wheels.com"
744395;242;"hotel-alcatraz.de"
2588;242;"http://alcatraz-hotel.com"
744394;242;"http://hotel-alcatraz.de"
88;242;"http://www.hotel-alcatraz.de"
744396;244;"alce.at"
2589;244;"http://alce.at"
1595;244;"http://www.alce.at"
2068;244;"www.alce.at"
